prodcode,dmdcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
14958,35921511000001104,3089,91302020,Triamcinolone acetonide 10mg/1ml suspension for injection ampoules,Triamcinolone acetonide,10mg/1ml,Suspension for injection,Intraarticular/Intradermal,10010202,Local Corticosteroid Injections,Februar 2009
14962,89311000001109,4048,91320020,Adcortyl Intra-articular / Intradermal 50mg/5ml suspension for injection vials (Bristol-Myers Squibb Pharmaceuticals Ltd),Triamcinolone acetonide,10mg/1ml,Suspension for injection,Intraarticular/Intradermal,10010202,Local Corticosteroid Injections,Februar 2009
14982,623611000001104,174616,92107020,Depo-Medrone 40mg/1ml suspension for injection vials (Pfizer Ltd),Methylprednisolone acetate,40mg/1ml,Suspension for injection,Intraarticular/Periarticular/Intrabursal/Intramuscular/Intralesional,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
15016,145085001000027104,136,67195020,Triamcinolone hexacetonide 5mg/ml Injection,Triamcinolone Hexacetonide,5mg/ml,Injection,,10010202,Local Corticosteroid Injections,Februar 2009
15717,35910611000001104,180,70607020,Betamethasone 4mg/1ml solution for injection ampoules,Betamethasone sodium phosphate,4mg/1ml,Solution for injection,Intravenous/Subconjunctival/Intramuscular,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
16582,243245001000027104,10446,91308020,Triamcinolone acetonide 40mg/ml suspension for injection,Triamcinolone Acetonide,40mg/ml,Injection Suspension,Tendon Sheath Injection,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
16583,306011000001103,116073,91322020,Kenalog Intra-articular / Intramuscular 40mg/1ml suspension for injection vials (Bristol-Myers Squibb Pharmaceuticals Ltd),Triamcinolone acetonide,40mg/1ml,Suspension for injection,Intravitreal/Intraarticular/Intramuscular,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
16815,199635001000027104,1477,76038020,Triamcinolone hexacetonide 20mg/ml Injection,Triamcinolone Hexacetonide/Benzyl Alcohol,20mg/ml,Injection,,10010202,Local Corticosteroid Injections,Februar 2009
18266,4396711000001105,128,72923020,Methylprednisolone sodium succinate 125mg powder and solvent for solution for injection vials,Methylprednisolone sodium succinate,125mg,Powder and solvent for solution for injection,Intramuscular/Intravenous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
18765,4396911000001107,78,64578020,Methylprednisolone sodium succinate 40mg powder and solvent for solution for injection vials,Methylprednisolone sodium succinate,40mg,Powder and solvent for solution for injection,Intramuscular/Intravenous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
19259,4052811000001109,998,89889020,Dexamethasone 8mg/2ml solution for injection vials,Dexamethasone sodium phosphate,4mg/1ml,Solution for injection,Rectal/Intravenous/Intramuscular/Intraarticular/Subcutaneous/Intrabursal,06030200,Glucocorticoid Therapy,Februar 2009
20157,769111000001105,127486,92063020,Depo-Medrone with Lidocaine suspension for injection 2ml vials (Pfizer Ltd),Methylprednisolone acetate/Lidocaine hydrochloride,40mg/1ml + 10mg/1ml,Suspension for injection,Intraarticular/Intrabursal/Periarticular,10010202,Local Corticosteroid Injections,Februar 2009
21540,4179311000001102,67,56344020,Solu-Medrone 500mg powder and solvent for solution for injection vials (Pfizer Ltd),Methylprednisolone sodium succinate,500mg,Powder and solvent for solution for injection,Intramuscular/Intravenous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
21668,78245001000027104,6,58005020,Decadron shock pak 20 20mg/ml Shock pack (Merck Sharp & Dohme Ltd),Dexamethasone Sodium Phosphate,20mg/ml,Shock Pack,,06030200,Glucocorticoid Therapy,Februar 2009
22047,865511000001102,3551,91324020,Kenalog Intramuscular 80mg/2ml suspension for injection pre-filled syringes (Bristol-Myers Squibb Pharmaceuticals Ltd),Triamcinolone acetonide,40mg/1ml,Suspension for injection,Intramuscular,00000000,Unknown,Februar 2009
22434,55915001000027104,5,54996020,Hydrocortisone acetate Powder,Hydrocortisone Acetate,,Powder,,50000000,Ingredients,Februar 2009
22577,3932011000001108,147,54442020,Betnesol 4mg/1ml solution for injection ampoules (Focus Pharmaceuticals Ltd),Betamethasone sodium phosphate,4mg/1ml,Solution for injection,Intravenous/Subconjunctival/Intramuscular,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
23118,159165001000027104,39,5440007,TRIAMCINOLONE 10 MG INJ,,,,,00000000,Unknown,Februar 2009
23511,4393011000001100,80,56343020,Solu-Medrone 40mg powder and solvent for solution for injection vials (Pfizer Ltd),Methylprednisolone sodium succinate,40mg,Powder and solvent for solution for injection,Intramuscular/Intravenous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
25226,4392411000001100,95,72920020,Solu-Medrone 125mg powder and solvent for solution for injection vials (Pfizer Ltd),Methylprednisolone sodium succinate,125mg,Powder and solvent for solution for injection,Intramuscular/Intravenous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
25839,4180211000001105,57,56347020,Solu-Medrone 1g powder and solvent for solution for injection vials (Pfizer Ltd),Methylprednisolone sodium succinate,1gram,Powder and solvent for solution for injection,Intravenous/Intramuscular,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
26299,67855001000027112,4,56573020,Oradexon-organon 4mg/ml Intraarticular injection (Organon Laboratories Ltd),Dexamethasone Sodium Phosphate,4mg/ml,Intraarticular Injection,,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
26300,109265001000027104,24,62332020,Dexamethasone 20mg/ml shock pack,Dexamethasone Sodium Phosphate,20mg/ml,Shock Treatment Pack,,06030200,Glucocorticoid Therapy,Februar 2009
26454,78075001000027104,5,57987020,Decadron 4mg/ml Injection (MSD Thomas Morson Pharmaceuticals),Dexamethasone Sodium Phosphate,4mg/ml,Injection,Intravenous Injection,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
27413,777311000001106,53818,92109020,Depo-Medrone 80mg/2ml suspension for injection vials (Pfizer Ltd),Methylprednisolone acetate,40mg/1ml,Suspension for injection,Intraarticular/Periarticular/Intrabursal/Intramuscular/Intralesional,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
28215,9154711000001100,23,71642020,Dexamethasone 100mg/5ml solution for injection vials,Dexamethasone sodium phosphate,20mg/1ml,Solution for injection,Intravenous,06030200,Glucocorticoid Therapy,Februar 2009
30244,144925001000027104,861,67173020,Triamcinolone acetonide 40mg/ml injection,Triamcinolone Acetonide,40mg/ml,Injection,,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
31948,104285001000027104,42,61648020,Dexamethasone 4mg/ml Injection (Mayne Pharma Plc 1),Dexamethasone Sodium Phosphate,4mg/ml,Injection,Subcutaneous Injection,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
33131,35921911000001108,1477,91316020,Triamcinolone acetonide 80mg/2ml suspension for injection pre-filled syringes,Triamcinolone acetonide,40mg/1ml,Suspension for injection,Intramuscular,00000000,Unknown,Februar 2009
33132,36034711000001104,15713,92101020,Methylprednisolone acetate 40mg/1ml suspension for injection vials,Methylprednisolone acetate,40mg/1ml,Suspension for injection,Intraarticular/Periarticular/Intrabursal/Intramuscular/Intralesional,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
34083,100755001000027104,41,61132020,Dexamethasone 5mg/ml Injection (Organon Laboratories Ltd),Dexamethasone Sodium Phosphate,5mg/ml,Injection,Subcutaneous Injection,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
34166,52025001000027104,32,54511020,Efcortelan soluble 50mg/ml Injection (Glaxo Laboratories Ltd),Hydrocortisone Sodium Succinate,50mg/ml,Injection,,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,Februar 2009
35040,3231811000001107,12795,92111020,Depo-Medrone 120mg/3ml suspension for injection vials (Pfizer Ltd),Methylprednisolone acetate,40mg/1ml,Suspension for injection,Intramuscular/Intraarticular/Periarticular/Intralesional/Intrabursal,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
35154,36034511000001104,10184,92059020,Methylprednisolone 80mg/2ml / Lidocaine 20mg/2ml (1%) suspension for injection vials,Methylprednisolone acetate/Lidocaine hydrochloride,40mg/1ml + 10mg/1ml,Suspension for injection,Intraarticular/Intrabursal/Periarticular,10010202,Local Corticosteroid Injections,Februar 2009
35156,36034411000001104,13501,92067020,Methylprednisolone 40mg/1ml / Lidocaine 10mg/1ml (1%) suspension for injection vials,Methylprednisolone acetate/Lidocaine hydrochloride,40mg/1ml + 10mg/1ml,Suspension for injection,Intraarticular/Intrabursal/Periarticular,10010202,Local Corticosteroid Injections,Februar 2009
35172,3852011000001104,4683,92307020,Efcortesol 100mg/1ml solution for injection ampoules (Advanz Pharma),Hydrocortisone sodium phosphate,100mg/1ml,Solution for injection,Intralesional/Intramuscular/Intravenous,06030200,Glucocorticoid Therapy,Februar 2009
35175,36056911000001104,5977,92303020,Hydrocortisone sodium phosphate 100mg/1ml solution for injection ampoules,Hydrocortisone sodium phosphate,100mg/1ml,Solution for injection,Intralesional/Intramuscular/Intravenous,06030200,Glucocorticoid Therapy,Februar 2009
35349,36034811000001112,6076,92103020,Methylprednisolone acetate 80mg/2ml suspension for injection vials,Methylprednisolone acetate,40mg/1ml,Suspension for injection,Intraarticular/Periarticular/Intrabursal/Intramuscular/Intralesional,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
35453,4052611000001105,3666,92434020,Dexamethasone (base) 3.3mg/1ml solution for injection ampoules,Dexamethasone sodium phosphate,3.3mg/1ml,Solution for injection,Subcutaneous/Intralesional/Intravenous/Intraarticular/Intramuscular/Intrabursal,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
35578,35921811000001104,425,91304020,Triamcinolone acetonide 50mg/5ml suspension for injection vials,Triamcinolone acetonide,10mg/1ml,Suspension for injection,Intraarticular/Intradermal,10010202,Local Corticosteroid Injections,Februar 2009
35688,36034611000001104,1921,92105020,Methylprednisolone acetate 120mg/3ml suspension for injection vials,Methylprednisolone acetate,40mg/1ml,Suspension for injection,Intramuscular/Intraarticular/Periarticular/Intralesional/Intrabursal,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
37500,4052511000001106,481,92436020,Dexamethasone (base) 6.6mg/2ml solution for injection vials,Dexamethasone sodium phosphate,3.3mg/1ml,Solution for injection,Intravenous/Intrabursal/Intraarticular/Intramuscular,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
37638,4888811000001103,38,92309020,Efcortesol 500mg/5ml solution for injection ampoules (Advanz Pharma),Hydrocortisone sodium phosphate,100mg/1ml,Solution for injection,Intramuscular/Intralesional/Intravenous,06030200,Glucocorticoid Therapy,Februar 2009
37737,68305001000027104,43,56624020,Kenalog 40mg/ml Injection (E R Squibb and Sons Ltd),Triamcinolone Acetonide,40mg/ml,Injection,Intramuscular Deep Injection Gluteal Muscle,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Februar 2009
40749,178025001000027104,1,6241007,DEXAMETHASONE SODIUM PHOSPHATE 5 MG INJ,,,,,00000000,Unknown,November 2009
43355,36057011000001104,42,92305020,Hydrocortisone sodium phosphate 500mg/5ml solution for injection ampoules,Hydrocortisone sodium phosphate,100mg/1ml,Solution for injection,Intramuscular/Intralesional/Intravenous,00000000,Unknown,September 2010
47598,4043411000001100,1,72102020,Dexamethasone 8mg/2ml solution for injection vials (Organon Laboratories Ltd),Dexamethasone sodium phosphate,4mg/1ml,Solution for injection,Rectal/Intravenous/Intramuscular/Intraarticular/Subcutaneous/Intrabursal,06030200,Glucocorticoid Therapy,August 2012
48406,35921711000001108,9516,11073020,Triamcinolone acetonide 40mg/1ml suspension for injection vials,Triamcinolone acetonide,40mg/1ml,Suspension for injection,Intravitreal/Intraarticular/Intramuscular,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Januar 2013
48746,17341411000001106,37,6598020,Depo-Medrone 40mg/1ml suspension for injection vials (Mawdsley-Brooks & Company Ltd),Methylprednisolone acetate,40mg/1ml,Suspension for injection,Intraarticular/Periarticular/Intrabursal/Intramuscular/Intralesional,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Januar 2013
48748,16157011000001104,160,6597020,Depo-Medrone 40mg/1ml suspension for injection vials (Lexon (UK) Ltd),Methylprednisolone acetate,40mg/1ml,Suspension for injection,Intraarticular/Periarticular/Intrabursal/Intramuscular/Intralesional,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Januar 2013
48800,18572811000001104,22,6599020,Depo-Medrone 40mg/1ml suspension for injection vials (DE Pharmaceuticals),Methylprednisolone acetate,40mg/1ml,Suspension for injection,Intraarticular/Periarticular/Intrabursal/Intramuscular/Intralesional,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Januar 2013
49076,16157411000001108,184,6590020,Depo-Medrone with Lidocaine suspension for injection 1ml vials (Lexon (UK) Ltd),Methylprednisolone acetate/Lidocaine hydrochloride,40mg/1ml + 10mg/1ml,Suspension for injection,Intraarticular/Intrabursal/Periarticular,10010202,Local Corticosteroid Injections,Januar 2013
49498,13893711000001102,204,35237020,Hydrocortisone sodium succinate 100mg powder for solution for injection vials,Hydrocortisone sodium succinate,100mg,Powder for solution for injection,Intravenous/Intramuscular,06030200,Glucocorticoid Therapy,Januar 2013
49707,4195211000001100,1259,13778020,Hydrocortisone sodium succinate 100mg powder and solvent for solution for injection vials,Hydrocortisone sodium succinate,100mg,Powder and solvent for solution for injection,Intravenous/Intramuscular,06030200,Glucocorticoid Therapy,Januar 2013
50026,35921611000001104,65,6636020,Triamcinolone acetonide 40mg/1ml suspension for injection pre-filled syringes,Triamcinolone acetonide,40mg/1ml,Suspension for injection,Intramuscular,00000000,Unknown,Januar 2013
50216,793711000001105,280,6637020,Kenalog Intramuscular 40mg/1ml suspension for injection pre-filled syringes (Bristol-Myers Squibb Pharmaceuticals Ltd),Triamcinolone acetonide,40mg/1ml,Suspension for injection,Intramuscular,00000000,Unknown,Januar 2013
50253,18573011000001108,19,6592020,Depo-Medrone with Lidocaine suspension for injection 1ml vials (DE Pharmaceuticals),Methylprednisolone acetate/Lidocaine hydrochloride,40mg/1ml + 10mg/1ml,Suspension for injection,Intraarticular/Intrabursal/Periarticular,10010202,Local Corticosteroid Injections,Januar 2013
50734,17341211000001108,8,6591020,Depo-Medrone with Lidocaine suspension for injection 1ml vials (Mawdsley-Brooks & Company Ltd),Methylprednisolone acetate/Lidocaine hydrochloride,40mg/1ml + 10mg/1ml,Suspension for injection,Intraarticular/Intrabursal/Periarticular,10010202,Local Corticosteroid Injections,Januar 2013
50853,4562611000001101,45,14131020,Lederspan 20mg/1ml suspension for injection vials (Wyeth Pharmaceuticals),Triamcinolone hexacetonide,20mg/1ml,Suspension for injection,Intraarticular,00000000,Unknown,Januar 2013
50854,4563011000001104,1,10289020,Lederspan 100mg/5ml suspension for injection vials (Wyeth Pharmaceuticals),Triamcinolone hexacetonide,20mg/1ml,Suspension for injection,Intraarticular,00000000,Unknown,Januar 2013
51167,4182611000001108,1475,13779020,Solu-Cortef 100mg powder and solvent for solution for injection vials (Pfizer Ltd),Hydrocortisone sodium succinate,100mg,Powder and solvent for solution for injection,Intravenous/Intramuscular,06030200,Glucocorticoid Therapy,Januar 2013
52153,87345001000027104,16,59063020,Hydrocortisone acetate Powder (Biorex Laboratories Ltd),Hydrocortisone Acetate,,Powder,,50000000,Ingredients,Januar 2013
53173,4044311000001109,1,72099020,Dexamethasone 4mg/1ml solution for injection ampoules (Aspen Pharma Trading Ltd),Dexamethasone sodium phosphate,4mg/1ml,Solution for injection,Rectal/Intramuscular/Intraarticular/Intrabursal/Intravenous/Subcutaneous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Januar 2013
54715,13871211000001104,160,35238020,Solu-Cortef 100mg powder for solution for injection vials (Pfizer Ltd),Hydrocortisone sodium succinate,100mg,Powder for solution for injection,Intravenous/Intramuscular,06030200,Glucocorticoid Therapy,April 2013
56940,22153811000001100,714,14717021,Dexamethasone (base) 6.6mg/2ml solution for injection ampoules,Dexamethasone sodium phosphate,3.3mg/1ml,Solution for injection,Subcutaneous/Intraarticular/Intrabursal/Intralesional/Intramuscular/Intravenous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,August 2013
57856,4562411000001104,4,14130020,Triamcinolone hexacetonide 20mg/1ml suspension for injection vials,Triamcinolone hexacetonide,20mg/1ml,Suspension for injection,Intraarticular,00000000,Unknown,Dezember 2013
61316,4045311000001108,0,13639020,Dexamethasone 4mg/1ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd),Dexamethasone sodium phosphate,4mg/1ml,Solution for injection,Rectal/Intramuscular/Intraarticular/Intrabursal/Intravenous/Subcutaneous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Oktober 2014
61958,27957911000001104,464,40591021,Dexamethasone (base) 3.8mg/1ml solution for injection vials,Dexamethasone sodium phosphate,3.8mg/1ml,Solution for injection,Intravenous/Subcutaneous/Rectal/Intrabursal/Intramuscular/Intraarticular,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Januar 2015
66867,24566011000001104,36,26696021,Triamcinolone hexacetonide 20mg/1ml suspension for injection ampoules,Triamcinolone hexacetonide,20mg/1ml,Suspension for injection,Periarticular/Intraarticular,10010202,Local Corticosteroid Injections,Juli 2016
71106,11104811000001106,180,6596020,Depo-Medrone 40mg/1ml suspension for injection vials (Waymade Healthcare Plc),Methylprednisolone acetate,40mg/1ml,Suspension for injection,Intraarticular/Periarticular/Intrabursal/Intramuscular/Intralesional,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,Dezember 2017
71905,30393911000001100,1,54001021,Hydrocortisone sodium phosphate 100mg/1ml solution for injection ampoules (Advanz Pharma),Hydrocortisone sodium phosphate,100mg/1ml,Solution for injection,Intralesional/Intramuscular/Intravenous,06030200,Glucocorticoid Therapy,April 2018
229,325349009,30837,61624020,Cortisone 25mg tablets,Cortisone acetate,25mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
2949,373994007,15800,59229020,Prednisone 5mg tablets,Prednisone,5mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
3418,325373001,592353,63491020,Hydrocortisone 10mg tablets,Hydrocortisone,10mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
3992,325472005,11991,83654020,Deflazacort 6mg tablets,Deflazacort,6mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
4535,325374007,70081,63492020,Hydrocortisone 20mg tablets,Hydrocortisone,20mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
6098,197211000001101,13988,58008020,Hydrocortone 10mg tablets (Auden McKenzie (Pharma Division) Ltd),Hydrocortisone,10mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
7548,8792411000001102,182,87443020,Cortisone 5mg capsules,Cortisone acetate,5mg,Capsule,Oral,06030200,Glucocorticoid Therapy,Februar 2009
7934,65065001000027104,262,2056007,PREDNISONE 30 MG TAB,,,,,00000000,Unknown,Februar 2009
8022,135965001000027104,1050,4512007,PREDSOL 5 MG TAB,,,,,00000000,Unknown,Februar 2009
8261,4051911000001105,61,64591020,Medrone 16mg tablets (Pfizer Ltd),Methylprednisolone,16mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
10552,325413007,720,64574020,Methylprednisolone 16mg tablets,Methylprednisolone,16mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
10574,104135001000027104,1788,61623020,Cortisone acetate 5mg tablets,Cortisone Acetate,5mg,Tablets,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,Februar 2009
10754,14365001000027102,97,49862020,Hydrocortistab 20mg Tablet (Waymade Healthcare Plc),Hydrocortisone,20mg,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,Februar 2009
12398,6215001000027101,273,48785020,Cortelan 25mg Tablet (Glaxo Laboratories Ltd),Cortisone acetate,25mg,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,Februar 2009
12400,6285001000027104,1223,48793020,Cortisyl 25mg Tablet (Aventis Pharma),Cortisone acetate,25mg,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,Februar 2009
13043,706611000001109,2334,58009020,Hydrocortone 20mg tablets (Auden McKenzie (Pharma Division) Ltd),Hydrocortisone,20mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
13615,65105001000027104,580,2057007,PREDNISONE 10 MG TAB,,,,,00000000,Unknown,Februar 2009
14172,325410005,8587,56636020,Methylprednisolone 100mg tablets,Methylprednisolone,100mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
15471,75805001000027104,293,2416007,HYDROCORTISONE 25 MG TAB,,,,,00000000,Unknown,Februar 2009
16724,109805001000027104,31,3589007,PREDNISONE 50 MG TAB,,,,,00000000,Unknown,Februar 2009
17263,3165001000027108,161,103007,HYDROCORTISONE SODIUM PHOSPHATE 5 MG SOL,,,,,00000000,Unknown,Februar 2009
17410,325474006,317,83655020,Deflazacort 30mg tablets,Deflazacort,30mg,Tablet,Oral,00000000,Unknown,Februar 2009
18042,4052211000001108,249,56650020,Medrone 100mg tablets (Pfizer Ltd),Methylprednisolone,100mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
18637,6255001000027106,596,48789020,Cortistab 25mg Tablet (Waymade Healthcare Plc),Cortisone acetate,25mg,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,Februar 2009
20577,224015001000027104,2045,83660020,Calcort 6mg Tablet (Shire Pharmaceuticals Ltd),Deflazacort,6mg,Tablet,Oral,06030200/08020200,Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants,Februar 2009
21833,6935001000027108,140,48880020,Decortisyl 5mg Tablet (Roussel Laboratories Ltd),Prednisone,5mg,Tablet,Oral,01050200/06030200,Corticosteroids In Chronic Bowel Problems/Glucocorticoid Therapy,Februar 2009
23210,6245001000027108,20,48788020,Cortistab 5mg Tablet (Waymade Healthcare Plc),Cortisone Acetate,5mg,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,Februar 2009
29112,3960211000001106,83,83661020,Calcort 30mg tablets (Shire Pharmaceuticals Ltd),Deflazacort,30mg,Tablet,Oral,00000000,Unknown,Februar 2009
41335,3756411000001107,495,97523020,Calcort 6mg tablets (Sanofi),Deflazacort,6mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2010
43544,29825001000027104,2,51727020,Prednisone 5mg Tablet (Knoll Ltd),Prednisone,5mg,Tablet,Oral,01050200/06030200,Corticosteroids In Chronic Bowel Problems/Glucocorticoid Therapy,September 2010
44723,17873811000001108,625,98893020,Prednisone 5mg modified-release tablets,Prednisone,5mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2011
44802,17873911000001104,58,98899020,Lodotra 5mg modified-release tablets (Napp Pharmaceuticals Ltd),Prednisone,5mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,MÃ¤rz 2011
53143,3669611000001101,0,6565020,Cortisone 25mg tablets (A A H Pharmaceuticals Ltd),Cortisone acetate,25mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Januar 2013
53705,144835001000027104,0,67162020,Cortisone acetate 5mg Capsule (Martindale Pharmaceuticals Ltd),Cortisone acetate,5mg,Capsule,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,Februar 2013
53953,21496411000001104,1589,46191020,Hydrocortisone 5mg modified-release tablets,Hydrocortisone,5mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,MÃ¤rz 2013
54794,21496311000001104,404,46189020,Hydrocortisone 20mg modified-release tablets,Hydrocortisone,20mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,April 2013
57931,18394311000001100,0,78292020,Hydrocortisone 20mg tablets (Teva UK Ltd),Hydrocortisone,20mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Dezember 2013
58061,374072009,3,9811020,Prednisone 50mg tablets,Prednisone,50mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Dezember 2013
58592,21494911000001104,370,46190020,Plenadren 20mg modified-release tablets (Shire Pharmaceuticals Ltd),Hydrocortisone,20mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,Januar 2014
59418,21494611000001108,192,46192020,Plenadren 5mg modified-release tablets (Shire Pharmaceuticals Ltd),Hydrocortisone,5mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,April 2014
62656,31195001000027104,1,51888020,Prednisone 5mg Tablet (Hillcross Pharmaceuticals Ltd),Prednisone,5mg,Tablet,Oral,01050200/06030200,Corticosteroids In Chronic Bowel Problems/Glucocorticoid Therapy,MÃ¤rz 2015
64787,17973911000001104,10,77481020,Hydrocortisone 10mg tablets (Almus Pharmaceuticals Ltd),Hydrocortisone,10mg,Tablet,Oral,06030200,Glucocorticoid Therapy,November 2015
65984,13661711000001104,23,75399020,Hydrocortisone 10mg tablets (Accord Healthcare Ltd),Hydrocortisone,10mg,Tablet,Oral,06030200,Glucocorticoid Therapy,April 2016
66287,32072011000001104,159,62215021,Dexamethasone 8mg soluble tablets sugar free,Dexamethasone sodium phosphate,8mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Juni 2016
66327,13661911000001108,1,75402020,Hydrocortisone 20mg tablets (Accord Healthcare Ltd),Hydrocortisone,20mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Juni 2016
66666,18392311000001108,0,78289020,Hydrocortisone 10mg tablets (Teva UK Ltd),Hydrocortisone,10mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Juli 2016
66724,24580511000001100,1,26700021,Dexamethasone 10mg capsules,Dexamethasone,10mg,Capsule,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Juli 2016
68860,32401311000001100,1,65922021,Dexamethasone 8mg soluble tablets sugar free (A A H Pharmaceuticals Ltd),Dexamethasone sodium phosphate,8mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Februar 2017
70893,34796811000001100,10,78467021,Dexamethasone 40mg tablets,Dexamethasone,40mg,Tablet,Oral,08020200,Corticosteroids And Other Immunosuppressants,Dezember 2017
73216,35574111000001104,151,81384021,Dexamethasone 8mg tablets,Dexamethasone,8mg,Tablet,Oral,06030200,Glucocorticoid Therapy,September 2018
76671,35697611000001104,5,82222021,Alkindi 5mg granules in capsules for opening (Diurnal Ltd),Hydrocortisone,5mg,Granules,Oral,06030200,Glucocorticoid Therapy,Juli 2019
77646,8581511000001106,30,20237020,Hydrocortisone 25mg/5ml oral suspension,Hydrocortisone,5mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,August 2019
